date,,value,value_1,referencia
2015,2015,AC,G,36
2016. 2,2016,T,C,7
2016.4,2016.3,AC,DP,33
2016.6,2016.6,PBT,DA,41
2016.8,2016.9,PBT,G,34
2017,2017,AC,CRI,10
2018.2,2018.4,PBT,CRI,31
2018.4,2018.8,AC,C ,35
2019.2,2019,PBT,ID,44
2019.4,2019.4,AMR,ID,29
2019.6,2019.9,AC,C,27
2020.2,2020.2,AC PBT,VD,26
2020.4,2020.7,AC,C,28
2021.2,2021,AMR,DA,30
2021.4,2021.3,AMR,C,32
2021.6,2021.6,PBT,C,38
2021.8,2021.9,PBT,C,40
2022.2,2022,AC,DE,37
2022.4,2022.3,AC,I,39
2022.6,2022.6,AC,G,42
2022.8,2022.9,AC,I,43
